1 0 15.82
1 1 15.36
1 2 15.53
1 3 15.51
1 4 15.6
2 0 0
2 1 8.12
2 2 8.13
2 3 8.25
2 4 8.37
3 0 0
3 1 6.01
3 2 5.97
3 3 5.9
3 4 6.07
4 0 0
4 1 4.88
4 2 4.91
4 3 7.02
4 4 5.04
